instance id,request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT,ITL
0,8,meta-llama/Llama-3.1-8B,12,52,903845068,2265773254,1361928186,11282712,38624659,33930859,"[25221007, 25221007, 25221007, 25221007, 27747738, 25739209, 25739209, 25739209, 25739209, 25739209, 25739209, 25739209, 25739209, 25739209, 25739209, 25739209, 25739209, 28808393, 25775990, 25775990, 25775990, 25775990, 25775990, 25775990, 29496053, 27555059, 69716119, 96120552, 51255519, 32012146, 26674953, 26674953, 28558287, 70227136, 118039990, 42935493, 27087701, 27087701, 28895258]"
0,11,meta-llama/Llama-3.1-8B,31,68,1379405751,2784905467,1405499716,566250,29374643,38225696,"[25775990, 25775990, 25775990, 25775990, 25775990, 25775990, 29496053, 27555059, 69716119, 96120552, 51255519, 32012146, 26674953, 26674953, 28558287, 70227136, 118039990, 42935493, 27087701, 27087701, 28895258, 51474744, 27217844, 30750660, 27276107, 27276107, 30496947, 27680552, 27680552, 30571684, 98149271, 28111549, 28111549, 28111549, 28111549, 28111549]"
0,25,meta-llama/Llama-3.1-8B,4,28,2228417547,3013946296,785528749,8460449,37355707,32529262,"[51474744, 27217844, 30750660, 27276107, 27276107, 30496947, 27680552, 27680552, 30571684, 98149271, 28111549, 28111549, 28111549, 28111549, 28111549, 27763603, 27763603, 32955878, 28111549, 28111549, 28111549, 28111549, 28111549]"
0,35,meta-llama/Llama-3.1-8B,1,10,3336021694,4318371538,982349844,45938660,88505064,111730597,"[33480413, 28416676, 28416676, 192586264, 197871828, 211118650, 135732768, 66221505]"
0,28,meta-llama/Llama-3.1-8B,7,43,2412644520,4379079372,1966434852,17124196,47621143,54823248,"[27680552, 27680552, 30571684, 98149271, 28111549, 28111549, 28111549, 28111549, 28111549, 27763603, 27763603, 32955878, 28111549, 28111549, 28111549, 28111549, 28111549, 27763603, 27763603, 27763603, 27763603, 27763603, 27763603, 201432440, 42566404, 33480413, 28416676, 28416676, 192586264, 197871828, 211118650, 135732768, 66221505, 30353917, 30353917]"
0,48,meta-llama/Llama-3.1-8B,17,22,4209283457,4439668770,230385313,42866576,109088081,30324308,"[30353917, 30353917, 30294699, 30294699]"
0,43,meta-llama/Llama-3.1-8B,1081,1103,3880823975,5054310825,1173486850,24474640,235593290,44661598,"[135732768, 66221505, 30353917, 30353917, 30294699, 30294699, 30103263, 30103263, 30103263, 30103263, 30103263, 120617209, 30288299, 98869290, 30358173, 30358173, 30358173, 30358173, 30358173, 30358173, 32201904]"
0,1,meta-llama/Llama-3.1-8B,19,138,347938951,5115018659,4767079708,13319203,40152816,40058702,"[24480789, 24480789, 24480789, 24480789, 29951478, 24432234, 24432234, 24432234, 93685508, 27175694, 25061799, 25061799, 25061799, 25061799, 25061799, 28986224, 25354128, 25354128, 27341947, 25221007, 25221007, 25221007, 25221007, 27747738, 25739209, 25739209, 25739209, 25739209, 25739209, 25739209, 25739209, 25739209, 25739209, 25739209, 25739209, 25739209, 28808393, 25775990, 25775990, 25775990, 25775990, 25775990, 25775990, 29496053, 27555059, 69716119, 96120552, 51255519, 32012146, 26674953, 26674953, 28558287, 70227136, 118039990, 42935493, 27087701, 27087701, 28895258, 51474744, 27217844, 30750660, 27276107, 27276107, 30496947, 27680552, 27680552, 30571684, 98149271, 28111549, 28111549, 28111549, 28111549, 28111549, 27763603, 27763603, 32955878, 28111549, 28111549, 28111549, 28111549, 28111549, 27763603, 27763603, 27763603, 27763603, 27763603, 27763603, 201432440, 42566404, 33480413, 28416676, 28416676, 192586264, 197871828, 211118650, 135732768, 66221505, 30353917, 30353917, 30294699, 30294699, 30103263, 30103263, 30103263, 30103263, 30103263, 120617209, 30288299, 98869290, 30358173, 30358173, 30358173, 30358173, 30358173, 30358173, 32201904, 30353917, 30353917]"
0,6,meta-llama/Llama-3.1-8B,21,134,610813767,5236197455,4625383688,72134844,99310538,40411367,"[25061799, 25061799, 25061799, 25061799, 25061799, 28986224, 25354128, 25354128, 27341947, 25221007, 25221007, 25221007, 25221007, 27747738, 25739209, 25739209, 25739209, 25739209, 25739209, 25739209, 25739209, 25739209, 25739209, 25739209, 25739209, 25739209, 28808393, 25775990, 25775990, 25775990, 25775990, 25775990, 25775990, 29496053, 27555059, 69716119, 96120552, 51255519, 32012146, 26674953, 26674953, 28558287, 70227136, 118039990, 42935493, 27087701, 27087701, 28895258, 51474744, 27217844, 30750660, 27276107, 27276107, 30496947, 27680552, 27680552, 30571684, 98149271, 28111549, 28111549, 28111549, 28111549, 28111549, 27763603, 27763603, 32955878, 28111549, 28111549, 28111549, 28111549, 28111549, 27763603, 27763603, 27763603, 27763603, 27763603, 27763603, 201432440, 42566404, 33480413, 28416676, 28416676, 192586264, 197871828, 211118650, 135732768, 66221505, 30353917, 30353917, 30294699, 30294699, 30103263, 30103263, 30103263, 30103263, 30103263, 120617209, 30288299, 98869290, 30358173, 30358173, 30358173, 30358173, 30358173, 30358173, 32201904, 30353917, 30353917, 30294699, 30294699, 30294699, 30294699]"
0,2,meta-llama/Llama-3.1-8B,91,216,479613520,5497226813,5017613293,6401403,36352881,40171454,"[24432234, 24432234, 24432234, 93685508, 27175694, 25061799, 25061799, 25061799, 25061799, 25061799, 28986224, 25354128, 25354128, 27341947, 25221007, 25221007, 25221007, 25221007, 27747738, 25739209, 25739209, 25739209, 25739209, 25739209, 25739209, 25739209, 25739209, 25739209, 25739209, 25739209, 25739209, 28808393, 25775990, 25775990, 25775990, 25775990, 25775990, 25775990, 29496053, 27555059, 69716119, 96120552, 51255519, 32012146, 26674953, 26674953, 28558287, 70227136, 118039990, 42935493, 27087701, 27087701, 28895258, 51474744, 27217844, 30750660, 27276107, 27276107, 30496947, 27680552, 27680552, 30571684, 98149271, 28111549, 28111549, 28111549, 28111549, 28111549, 27763603, 27763603, 32955878, 28111549, 28111549, 28111549, 28111549, 28111549, 27763603, 27763603, 27763603, 27763603, 27763603, 27763603, 201432440, 42566404, 33480413, 28416676, 28416676, 192586264, 197871828, 211118650, 135732768, 66221505, 30353917, 30353917, 30294699, 30294699, 30103263, 30103263, 30103263, 30103263, 30103263, 120617209, 30288299, 98869290, 30358173, 30358173, 30358173, 30358173, 30358173, 30358173, 32201904, 30353917, 30353917, 30294699, 30294699, 30294699, 30294699, 34270138, 30294699, 30294699, 75095303, 30358173, 30358173, 30358173]"
