instance id,request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT,ITL
0,1,meta-llama/Llama-3.1-8B,19,138,347938951,9647315980,9299377029,10337972,57332426,78322411,"[44641630, 44641630, 50112318, 44593075, 113846343, 47336535, 45222640, 45222640, 49147065, 45514969, 47502788, 45381848, 47660731, 47601295, 45900050, 45900050, 45900050, 45900050, 45900050, 45900050, 48969234, 45936831, 45936831, 45936831, 51814984, 132914942, 111918708, 52172986, 91313278, 138200822, 63087724, 47248542, 72738380, 51184854, 47657595, 50714328, 47918025, 119612178, 48418193, 48418193, 48418193, 48428273, 53691447, 48344806, 48353990, 48353990, 48353990, 48353990, 48353990, 222249097, 72264300, 48839352, 212908422, 218586581, 242427406, 160991346, 54569912, 50576411, 50576411, 50514758, 141134158, 50514758, 119161355, 50576411, 50576411, 50576411, 52322283, 50837886, 50837886, 50837886, 54946104, 50837886, 95460624, 50980798, 50980798, 50980798, 92693807, 262368956, 116364126, 234093740, 190870005, 52565843, 52565843, 52565843, 52514846, 56174957, 52565843, 52565843, 85206287, 54494484, 54494484, 137026557, 186753251, 56762563, 55787076, 140134091, 55313456, 94121404, 57224034, 120076844, 195821894, 57296051, 56433027, 56433027, 55937438, 65868896, 119792932, 88293013, 56626205, 56788219, 56765899, 224108416, 65922260, 57509345, 292554876, 55976846, 55976846, 55976846]"
0,6,meta-llama/Llama-3.1-8B,21,134,610813767,9647315980,9036502213,92292606,139629141,79436366,"[45222640, 45222640, 49147065, 45514969, 47502788, 45381848, 47660731, 47601295, 45900050, 45900050, 45900050, 45900050, 45900050, 45900050, 48969234, 45936831, 45936831, 45936831, 51814984, 132914942, 111918708, 52172986, 91313278, 138200822, 63087724, 47248542, 72738380, 51184854, 47657595, 50714328, 47918025, 119612178, 48418193, 48418193, 48418193, 48428273, 53691447, 48344806, 48353990, 48353990, 48353990, 48353990, 48353990, 222249097, 72264300, 48839352, 212908422, 218586581, 242427406, 160991346, 54569912, 50576411, 50576411, 50514758, 141134158, 50514758, 119161355, 50576411, 50576411, 50576411, 52322283, 50837886, 50837886, 50837886, 54946104, 50837886, 95460624, 50980798, 50980798, 50980798, 92693807, 262368956, 116364126, 234093740, 190870005, 52565843, 52565843, 52565843, 52514846, 56174957, 52565843, 52565843, 85206287, 54494484, 54494484, 137026557, 186753251, 56762563, 55787076, 140134091, 55313456, 94121404, 57224034, 120076844, 195821894, 57296051, 56433027, 56433027, 55937438, 65868896, 119792932, 88293013, 56626205, 56788219, 56765899, 224108416, 65922260, 57509345, 292554876, 55976846, 55976846, 55976846]"
0,90,meta-llama/Llama-3.1-8B,137,149,8437928393,9647315980,1209387587,23095884,142888816,96954433,"[88293013, 56626205, 56788219, 56765899, 224108416, 65922260, 57509345, 292554876, 55976846, 55976846, 55976846]"
0,36,meta-llama/Llama-3.1-8B,134,205,3372350479,9813815452,6441464973,51761930,124026230,90249124,"[48839352, 212908422, 218586581, 242427406, 160991346, 54569912, 50576411, 50576411, 50514758, 141134158, 50514758, 119161355, 50576411, 50576411, 50576411, 52322283, 50837886, 50837886, 50837886, 54946104, 50837886, 95460624, 50980798, 50980798, 50980798, 92693807, 262368956, 116364126, 234093740, 190870005, 52565843, 52565843, 52565843, 52514846, 56174957, 52565843, 52565843, 85206287, 54494484, 54494484, 137026557, 186753251, 56762563, 55787076, 140134091, 55313456, 94121404, 57224034, 120076844, 195821894, 57296051, 56433027, 56433027, 55937438, 65868896, 119792932, 88293013, 56626205, 56788219, 56765899, 224108416, 65922260, 57509345, 292554876, 55976846, 55976846, 55976846, 55499824, 55499824, 55499824]"
0,86,meta-llama/Llama-3.1-8B,24,48,8041570415,10034961324,1993390909,127485423,184781474,78635192,"[56433027, 56433027, 55937438, 65868896, 119792932, 88293013, 56626205, 56788219, 56765899, 224108416, 65922260, 57509345, 292554876, 55976846, 55976846, 55976846, 55499824, 55499824, 55499824, 55286468, 55286468, 55286468, 55286468]"
0,2,meta-llama/Llama-3.1-8B,91,216,479613520,10145386670,9665773150,14941117,65053435,77425158,"[44593075, 113846343, 47336535, 45222640, 45222640, 49147065, 45514969, 47502788, 45381848, 47660731, 47601295, 45900050, 45900050, 45900050, 45900050, 45900050, 45900050, 48969234, 45936831, 45936831, 45936831, 51814984, 132914942, 111918708, 52172986, 91313278, 138200822, 63087724, 47248542, 72738380, 51184854, 47657595, 50714328, 47918025, 119612178, 48418193, 48418193, 48418193, 48428273, 53691447, 48344806, 48353990, 48353990, 48353990, 48353990, 48353990, 222249097, 72264300, 48839352, 212908422, 218586581, 242427406, 160991346, 54569912, 50576411, 50576411, 50514758, 141134158, 50514758, 119161355, 50576411, 50576411, 50576411, 52322283, 50837886, 50837886, 50837886, 54946104, 50837886, 95460624, 50980798, 50980798, 50980798, 92693807, 262368956, 116364126, 234093740, 190870005, 52565843, 52565843, 52565843, 52514846, 56174957, 52565843, 52565843, 85206287, 54494484, 54494484, 137026557, 186753251, 56762563, 55787076, 140134091, 55313456, 94121404, 57224034, 120076844, 195821894, 57296051, 56433027, 56433027, 55937438, 65868896, 119792932, 88293013, 56626205, 56788219, 56765899, 224108416, 65922260, 57509345, 292554876, 55976846, 55976846, 55976846, 55499824, 55499824, 55499824, 55286468, 55286468, 55286468, 55286468, 55212673, 55212673]"
0,78,meta-llama/Llama-3.1-8B,29,73,7478655809,10826519858,3347864049,27708306,167842397,73953991,"[55313456, 94121404, 57224034, 120076844, 195821894, 57296051, 56433027, 56433027, 55937438, 65868896, 119792932, 88293013, 56626205, 56788219, 56765899, 224108416, 65922260, 57509345, 292554876, 55976846, 55976846, 55976846, 55499824, 55499824, 55499824, 55286468, 55286468, 55286468, 55286468, 55212673, 55212673, 56761099, 56761099, 56761099, 56761099, 56761099, 56761099, 56761099, 56761099, 56761099, 56761099, 56761099, 56761099]"
0,74,meta-llama/Llama-3.1-8B,769,828,7148485874,11505987470,4357501596,58575351,245328602,70899534,"[56762563, 55787076, 140134091, 55313456, 94121404, 57224034, 120076844, 195821894, 57296051, 56433027, 56433027, 55937438, 65868896, 119792932, 88293013, 56626205, 56788219, 56765899, 224108416, 65922260, 57509345, 292554876, 55976846, 55976846, 55976846, 55499824, 55499824, 55499824, 55286468, 55286468, 55286468, 55286468, 55212673, 55212673, 56761099, 56761099, 56761099, 56761099, 56761099, 56761099, 56761099, 56761099, 56761099, 56761099, 56761099, 56761099, 56622301, 56622301, 56622301, 56622301, 56622301, 56622301, 56622301, 56622301, 56622301, 56622301, 56622301, 56622301]"
0,56,meta-llama/Llama-3.1-8B,288,364,5589266729,11562406146,5973139417,18663032,111356839,78157101,"[262368956, 116364126, 234093740, 190870005, 52565843, 52565843, 52565843, 52514846, 56174957, 52565843, 52565843, 85206287, 54494484, 54494484, 137026557, 186753251, 56762563, 55787076, 140134091, 55313456, 94121404, 57224034, 120076844, 195821894, 57296051, 56433027, 56433027, 55937438, 65868896, 119792932, 88293013, 56626205, 56788219, 56765899, 224108416, 65922260, 57509345, 292554876, 55976846, 55976846, 55976846, 55499824, 55499824, 55499824, 55286468, 55286468, 55286468, 55286468, 55212673, 55212673, 56761099, 56761099, 56761099, 56761099, 56761099, 56761099, 56761099, 56761099, 56761099, 56761099, 56761099, 56761099, 56622301, 56622301, 56622301, 56622301, 56622301, 56622301, 56622301, 56622301, 56622301, 56622301, 56622301, 56622301, 56418676]"
0,46,meta-llama/Llama-3.1-8B,438,537,4056749989,11675251400,7618501411,162388481,323379827,74440016,"[54569912, 50576411, 50576411, 50514758, 141134158, 50514758, 119161355, 50576411, 50576411, 50576411, 52322283, 50837886, 50837886, 50837886, 54946104, 50837886, 95460624, 50980798, 50980798, 50980798, 92693807, 262368956, 116364126, 234093740, 190870005, 52565843, 52565843, 52565843, 52514846, 56174957, 52565843, 52565843, 85206287, 54494484, 54494484, 137026557, 186753251, 56762563, 55787076, 140134091, 55313456, 94121404, 57224034, 120076844, 195821894, 57296051, 56433027, 56433027, 55937438, 65868896, 119792932, 88293013, 56626205, 56788219, 56765899, 224108416, 65922260, 57509345, 292554876, 55976846, 55976846, 55976846, 55499824, 55499824, 55499824, 55286468, 55286468, 55286468, 55286468, 55212673, 55212673, 56761099, 56761099, 56761099, 56761099, 56761099, 56761099, 56761099, 56761099, 56761099, 56761099, 56761099, 56761099, 56622301, 56622301, 56622301, 56622301, 56622301, 56622301, 56622301, 56622301, 56622301, 56622301, 56622301, 56622301, 56418676, 56422627, 56422627]"
